시군구명,읍면동명,,연도,,쉼터명칭,상세주소,사용여부,시설면적,이용가능인원수,소재지지번주소,경도,위도,시설유형명
천안시 서북구 성환읍, 서북구 성환읍,,2024,,노인건강쉼터(성환3리),충청남도 천안시 서북구 성환읍 성환시장길 9,Y,198,56,충청남도 천안시 서북구 성환읍 성환시장길 9,127.1297747,36.9183736,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,성환6리 경로당,충청남도 천안시 서북구 성환읍 성환3로 46,Y,99,72,충청남도 천안시 서북구 성환읍 성환3로 46,127.1330615,36.9148969,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,성환9리 경로당,충청남도 천안시 서북구 성환읍 성환중앙로 86,Y,100,25,충청남도 천안시 서북구 성환읍 성환중앙로 86,127.1343639,36.9194622,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,구선 경로당,충청남도 천안시 동남구 구성4길 13 (구성동),Y,81,20,충청남도 천안시 동남구 구성4길 13 (구성동),127.1617171,36.7972846,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,청수현대 경로당,충청남도 천안시 동남구 풍세로 1010-31,Y,71,17,충청남도 천안시 동남구 풍세로 1010-31,127.154035,36.797478,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,신성미소 경로당,충청남도 천안시 동남구 천안대로 483-8,Y,68,44,충청남도 천안시 동남구 천안대로 483-8,127.1630742,36.7930753,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,청당우미린 경로당,충청남도 천안시 동남구 청수14로 16,Y,102,25,충청남도 천안시 동남구 청수14로 16,127.147655,36.783671,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,쌍용 경로당,충청남도 천안시 동남구 충절로 295-14,Y,76,19,충청남도 천안시 동남구 충절로 295-14,127.161639,36.793746,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,삼룡2통 경로당,충청남도 천안시 동남구 충절로 417-10 (삼룡동),Y,120,30,충청남도 천안시 동남구 충절로 417-10 (삼룡동),127.1702495,36.7846957,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,삼룡3통 경로당,충청남도 천안시 동남구 삼룡3길 21,Y,120,30,충청남도 천안시 동남구 삼룡3길 21,127.167397,36.779359,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,구룡1통 경로당,충청남도 천안시 동남구 용평1길 35,Y,65,16,충청남도 천안시 동남구 용평1길 35,127.155198,36.763989,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,구룡2통 경로당,충청남도 천안시 동남구 배울1길 118-13,Y,139,34,충청남도 천안시 동남구 배울1길 118-13,127.138002,36.766317,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,구룡3통 경로당,충청남도 천안시 동남구 중리1길 144 (구룡동),Y,70,17,충청남도 천안시 동남구 중리1길 144 (구룡동),127.1488988,36.7666099,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,LGSK 경로당,"충청남도 천안시 동남구 청수로 98 (청수동, 청솔LG아파트)",Y,108,27,"충청남도 천안시 동남구 청수로 98 (청수동, 청솔LG아파트)",127.1566643,36.7911531,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,향목그라 경로당,충청남도 천안시 동남구 충절로 303,Y,46,11,충청남도 천안시 동남구 충절로 303,127.161987,36.792686,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,현대아이 경로당,충청남도 천안시 동남구 청수로 136-8,Y,63,15,충청남도 천안시 동남구 청수로 136-8,127.1592316,36.7932799,노인시설
천안시 동남구 신안동, 동남구 신안동,,2024,,신안대림한들@경로당,충청남도 천안시 동남구 터미널9길 59,Y,94,32,충청남도 천안시 동남구 터미널9길 59,127.158948,36.823646,노인시설
천안시 동남구 신안동, 동남구 신안동,,2024,,신안대림한숲@경로당,충청남도 천안시 동남구 터미널6길 12,Y,79,40,충청남도 천안시 동남구 터미널6길 12,127.160822,36.821397,노인시설
천안시 동남구 신안동, 동남구 신안동,,2024,,신안우방@경로당,충청남도 천안시 동남구 중앙로 265-36,Y,36,37,충청남도 천안시 동남구 중앙로 265-36,127.150577,36.823415,노인시설
천안시 동남구 신안동, 동남구 신안동,,2024,,신안경남아너스빌@경로당,충청남도 천안시 동남구 충절로 42,Y,73,40,충청남도 천안시 동남구 충절로 42,127.157581,36.815382,노인시설
천안시 동남구 신안동, 동남구 신안동,,2024,,신안안서부경@경로당,충청남도 천안시 동남구 성불사길 36,Y,101,35,충청남도 천안시 동남구 성불사길 36,127.189118,36.828424,노인시설
천안시 동남구 신안동, 동남구 신안동,,2024,,신안안서고운여의주@경로당,충청남도 천안시 동남구 안서1길 5-16,Y,130,34,충청남도 천안시 동남구 안서1길 5-16,127.177388,36.829876,노인시설
천안시 동남구 신안동, 동남구 신안동,,2024,,"신안13, 20통경로당",충청남도 천안시 동남구 신원1길 13,Y,143,40,충청남도 천안시 동남구 신원1길 13,127.159906,36.81392,노인시설
천안시 동남구 신안동, 동남구 신안동,,2024,,신안14통경로당,충청남도 천안시 동남구 신원3길 33,Y,50,30,충청남도 천안시 동남구 신원3길 33,127.16381,36.814615,노인시설
